uid,source_id,domain,text,original_labels,article_group,bootstrap_label,bootstrap_confidence,created_at,synthetic,final_label
boot_0208_e56de7,7939,donmai.us,"if you are located in the eu, you also have the right to lodge a complaint to a data protection authority.",Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.4,2025-11-03T00:49:29.303000,False,ambiguous
syn_non_compliant_e683b732,6366,entertainmentcrave.com,your rights in relation to automated decision-making and profiling We may share your personal data with partners without limitation.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.463487,True,non_compliant
syn_non_compliant_1955646f,3574,sfgate.com,If you use or interact with a Hearst U.S. Digital Service then the data controller will be the entity listed at the top of this Privacy Notice.,Controller Contact,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.458473,True,non_compliant
boot_0752_955319,225,legacy.com,third party providers may use the information only in accordance with this Policy.,Safeguards Copy,Transfers (44-50),ambiguous,0.7,2025-11-03T00:49:29.307415,False,ambiguous
syn_compliant_c653da2e,164,discover.com,These measures include computer safeguards and secured files and buildings We will retain this data for 3 years. For requests contact privacy@example.com.,Safeguards Copy,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.436140,True,compliant
boot_0552_a941c9,73,ranker.com,"We are permanently implementing and updating administrative, technical, and physical security measures to protect your information against unauthorized access, loss, destruction, or alteration.",Safeguards Copy,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.305543,False,ambiguous
syn_non_compliant_24dc0145,1984,samsclub.com,"Participate in a contest, sweepstake, promotion, or survey.",Source of Data,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.463675,True,non_compliant
boot_0955_7945e3,100,chase.com,This includes device safeguards and secured files and buildings.,Safeguards Copy,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.308818,False,ambiguous
syn_non_compliant_36868467,4045,delta.com,"We collect information from you when you place an order, subscribe to a newsletter, respond to a survey, fill out a form or enter information on our site.",Source of Data,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.471046,True,non_compliant
syn_compliant_04e68413,9729,everyjobforme.com,"We further reserve the right to disclose your personal information to appropriate third parties: (i) to protect any other party’s rights, property and safety, (ii) to investigate, prevent or take action regarding illegal activities, suspected fraud, situations involving harassment, abusive messages or potential threats to the physical safety of any person and (iii) to protect against misuse or unauthorized use of this Site We will retain this data for 3 years. For requests contact privacy@example.com.",Safeguards Copy,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.426219,True,compliant
