text,label,article_group,synthetic,uid
"we are not currently processing your personal data for such type of automated decision-making, including profiling, but if we elect to do so in the future we will provide you with notice and choice, in accordance with eu data protection law We will retain this data for as long as necessary. For requests contact [contact removed].",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_412_136544
Request erasure of your personal data.,compliant,Rights of the Data Subject (12-23),,
"you have the right to object to certain types of processing, including processing for direct marketing.",compliant,Rights of the Data Subject (12-23),,
"Participate in a contest, sweepstake, promotion, or survey.",ambiguous,Other / Unmapped,,
"Audience Engagement: identification and development of audience engagement, advertising and promotional strategies on various platforms and channels, both within the Service and on Channels We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Principles (5-11),True,auto_169_cf6c04
how long do we keep your personal information for? We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Other / Unmapped,True,auto_26_b3c267
"if your information is held by a bechtel entity in the eea you also have the right to lodge a complaint with the relevant data protection authority, either in the eea member state where the bechtel entity is located or in your own eea member state (see also the discussion of complaints in the eu-us privacy shield section of this policy , below We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,"Remedies, liability and penalties (77-84)",True,auto_94_777964
"While we use industry standard means to protect our websites and your information,",ambiguous,Transfers (44-50),,
"we may share your information with our affiliates and subsidiaries, service providers and business partners",non_compliant,Controller and Processor (24-43),True,auto_538_263e41
we may connect information we collect from the Cookies set by us and our partners with other information received from you.,compliant,Controller and Processor (24-43),,
we may collect Personal Information and other information from you,ambiguous,Principles (5-11),,
you may withdraw your consent at any time by sending an email as specified in the “how to contact us” section below.,compliant,Rights of the Data Subject (12-23),,
"<5,6<We disclose personal data to law enforcement. We may need to further disclose personal data to competent authorities.>>",compliant,Controller and Processor (24-43),,
"if you have any questions about this privacy policy or need to contact the apa to exercise your rights as a data subject under the gdpr, please contact the apa’s privacy officer at: apa@psych.org or (202) 559-3900 We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_193_37151d
The privacy of our members is a top priority We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Transfers (44-50),True,auto_35_0e7237
We store this information in an encrypted environment.,ambiguous,Transfers (44-50),,
you have a right to lodge a complaint with a supervisory authority We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,"Remedies, liability and penalties (77-84)",True,auto_7_1517a1
"in the absence of an adequacy decision, grinding gear games may transfer personal data provided appropriate safeguards are in place.",non_compliant,Transfers (44-50),,
